track_id,track_name,track_artist,track_preview
1EZypwk0xcj64ZLAglhLs2,La Cosa Mas Bella,Eros Ramazzotti,https://p.scdn.co/mp3-preview/df7121369f9c4d226f8a638ed6ae1d6f02ae322c?cid=42af1dc139184fc09475bdf54c5029cf
6CYJojwhuUyTTL5G6AsDHf,badbye (with eAeon),"RM, eAeon",https://p.scdn.co/mp3-preview/00bb3ff4e0ac7c7a37f9ce7e9e8128f9893a35d7?cid=42af1dc139184fc09475bdf54c5029cf
70Z9t1qhytWtG4cCmmi7mU,I Wanna Rock,Twisted Sister,https://p.scdn.co/mp3-preview/ad34ec4f0d35feee8e058b057a7904c2ef79dec1?cid=42af1dc139184fc09475bdf54c5029cf
2Bg3PiHpUpAQLnDRLOnFY2,Make It Now,OMI,https://p.scdn.co/mp3-preview/0ad20e92ddc6f2e7133889b8234f725d76c65e14?cid=42af1dc139184fc09475bdf54c5029cf
7xpDGoUGbtaquk5xMvzwTh,Telegrama,Zeca Baleiro,https://p.scdn.co/mp3-preview/66793bfd3de941b026bd232c2d8d7d8d4002b9ec?cid=42af1dc139184fc09475bdf54c5029cf
0cVyQfDyRnMJ0V3rjjdlU3,Lil Boo Thang,Paul Russell,https://p.scdn.co/mp3-preview/79f29532b707e2bd12e311d7dce2591b4d57437e?cid=42af1dc139184fc09475bdf54c5029cf
2tnVG71enUj33Ic2nFN6kZ,Ride It,Regard,https://p.scdn.co/mp3-preview/ce29bb243cf40118b87070b00a49822e09a317b1?cid=42af1dc139184fc09475bdf54c5029cf
2mWdFicDI0oYBCic5506My,Los Ultimos Son Los Primeros,HERNAN TREJO,https://p.scdn.co/mp3-preview/3c0807b720a731c9696eb3a1b590f89006742cfc?cid=42af1dc139184fc09475bdf54c5029cf
7krbSH3rd8lhIZvuzTV3Bl,Naked,James Arthur,https://p.scdn.co/mp3-preview/53e7499e7b3cf1fd4dc40c121035bf5f94de2e09?cid=42af1dc139184fc09475bdf54c5029cf
1EYSS9Lp7a9f20C3FaOVgI,Baby Don’t Stop,"NCT, NCT U",https://p.scdn.co/mp3-preview/38c09974c95d10bf4220a636b4e25c3d78114107?cid=42af1dc139184fc09475bdf54c5029cf
5JrQ1Jc3udCcAJasEpH0Ov,Run Away (feat. Bryson Tiller),"Chris Brown, Bryson Tiller",https://p.scdn.co/mp3-preview/5256d75fad1947cd7b657a2db6209d6c3e606b73?cid=42af1dc139184fc09475bdf54c5029cf
4t2Pqr2C1yRuvZ2YCLTVcx,Turbulencia,Jay Wheeler,https://p.scdn.co/mp3-preview/0e1d08c3badab74c7d44c13342592e5adebc4441?cid=42af1dc139184fc09475bdf54c5029cf
3BH6NCLS1s6ASMONZsJ7KT,Hello from SEVENTEEN,SEVENTEEN,https://p.scdn.co/mp3-preview/1b9584a068562d86d9f9bff68c892de476c1bd8b?cid=42af1dc139184fc09475bdf54c5029cf
3HgvO4B5LLmdPOT2d8cSZd,Mónaco,"LAGOS, Danny Ocean",https://p.scdn.co/mp3-preview/50612abe7c5a1c3261f11706a489ea31aa42937a?cid=42af1dc139184fc09475bdf54c5029cf
68CwDQwKXMYLBLWI8ZfRMG,Talk About It,"Mike Perry, Hot Shade",https://p.scdn.co/mp3-preview/367250c903e4095c1a54ef2a30c37354368ca767?cid=42af1dc139184fc09475bdf54c5029cf
6WRArwDDHBdYewyCMifSUT,Vivimo Caro - Remix,"Jose Reyes, Arcángel, Eladio Carrion, Jon Z, Duki",https://p.scdn.co/mp3-preview/0349e7a5c33e49de49fe71e4ea4f1af6d7804fdb?cid=42af1dc139184fc09475bdf54c5029cf
3bYLRndI3qoLQqgPalT8CY,Grapevine,Tiësto,https://p.scdn.co/mp3-preview/06f8ac403d642c95217aeedd5bddf62e7f70357e?cid=42af1dc139184fc09475bdf54c5029cf
6fWNrtEd8z5ONHUCCiOuBS,Tu Despertador,"Andrés Cepeda, Reik",https://p.scdn.co/mp3-preview/0dc0c99623c574d17d9c2b93103c49611364cf2d?cid=42af1dc139184fc09475bdf54c5029cf
6BnciRM9jyEP9cEjvoN5eI,moonchild,RM,https://p.scdn.co/mp3-preview/da9fea72142e40492ce38c039e99ef65be70acc5?cid=42af1dc139184fc09475bdf54c5029cf
3jCb9JZx9J3N8sRgKRLRY0,A Long Walk (2020 Remastered),Jill Scott,https://p.scdn.co/mp3-preview/887445b12c049575ea6ccc6a94e437b8fc3bc01d?cid=42af1dc139184fc09475bdf54c5029cf
3MEYFivt6bilQ9q9mFWZ4g,Alone,Marshmello,https://p.scdn.co/mp3-preview/9f235497d1eb2a7e9368397ef4a22c6c13d40ef4?cid=42af1dc139184fc09475bdf54c5029cf
7pm5ZgUZlDA5P51j9zIz6l,God is Love,"Beres Hammond, Popcaan",https://p.scdn.co/mp3-preview/0532b90f978f6b9956805d917a53a5d6cfebf153?cid=42af1dc139184fc09475bdf54c5029cf
5JEjeIMPnFJcKisnx8LfdG,BLACK OR WHITE,Jake Isaac,https://p.scdn.co/mp3-preview/c33d0d019ade5b4896810fb0b56adc56c47a66ab?cid=42af1dc139184fc09475bdf54c5029cf
4x5YCTYmHCJV32RO5TAbr0,Salir Ileso,Don Tetto,https://p.scdn.co/mp3-preview/ab6223e4afc3957d6e8912e8e17e42b58d7f9f35?cid=42af1dc139184fc09475bdf54c5029cf
1L9UBn6F0iY4HZeeH4teDZ,Beso,CNCO,https://p.scdn.co/mp3-preview/a7d6b11690ae5f91c2be61b50a04a73c442b9aa5?cid=42af1dc139184fc09475bdf54c5029cf
4pMyfWdA0eo3JY5RqMotbw,Perfect Day,Hoku,https://p.scdn.co/mp3-preview/3d417045b886c81c033c7a9dd02db24e4622c2fe?cid=42af1dc139184fc09475bdf54c5029cf
