track_id,track_name,track_artist,track_preview
1kJX4uz4REZ7iZdpjOzGmO,Venecia (prod. ICON808),Juanfran,https://p.scdn.co/mp3-preview/7ca7443f081d13c9c6fd1b7a80ade725f2c9b1a3?cid=42af1dc139184fc09475bdf54c5029cf
0muywnX9vdBYGawwBzoNLB,No Lo Niegues,"Juanfran, Moncho Chavea, Antonio Hernandez",https://p.scdn.co/mp3-preview/0bbad10a6d46c9413e46fd40be81bd4e09177a36?cid=42af1dc139184fc09475bdf54c5029cf
0D2d3gAzSvMUIpHtcyeZEp,Desahogo,Juanfran,https://p.scdn.co/mp3-preview/1f93e15120710b3081984cc18ac61175ed386372?cid=42af1dc139184fc09475bdf54c5029cf
0aPp1fj7nAL01QrFxFWk10,Amantes,Juanfran,https://p.scdn.co/mp3-preview/02957a0ed9fc7b5368e08a9dd4a396956157787e?cid=42af1dc139184fc09475bdf54c5029cf
6kDmPq5s6Ogh9TSjsbuEOt,Par de Miradas,"Juanfran, vf7",https://p.scdn.co/mp3-preview/d03e4b4366ec4043ab0f46f9c3f139c80cf4e5d3?cid=42af1dc139184fc09475bdf54c5029cf
26jBzIOV7GcdXxbIv1xAqd,Una Mirada - Remix,"Lionel Ferro, Amira Chediak, Juanfran, Lira",https://p.scdn.co/mp3-preview/e17de2fec3f5b663c53f6f0bd72dadf04d6a9386?cid=42af1dc139184fc09475bdf54c5029cf
0bLYjCYTOWCtBal1kjGC2f,Que pasará,Juanfran,https://p.scdn.co/mp3-preview/13a2f41f09100e04cc4de7a4961661e4275ef212?cid=42af1dc139184fc09475bdf54c5029cf
5JhbdhWN1LTPt438COmQV3,Habilidad,"Khify, Juanfran",https://p.scdn.co/mp3-preview/1cbc2439d4b6b57da4d7ab963fd35aefbc91976d?cid=42af1dc139184fc09475bdf54c5029cf
5TzKEqqKpPb2tbgpofiItm,Jangueo,Juanfran,https://p.scdn.co/mp3-preview/4773a0a5f64af1b2ba53f9e8f4d76c0658d98ed6?cid=42af1dc139184fc09475bdf54c5029cf
2Hm8cQ4wTfNfjoBj2lqBdX,Cool,Juanfran,https://p.scdn.co/mp3-preview/caae3048971d5e978c8cef9fe3cbf980e2c04e3f?cid=42af1dc139184fc09475bdf54c5029cf
5l75219IE7b0Zg8k8V3PuQ,I Will Survive - Electro Rock,"Macaronesia, Cristina Ramos, Drag Chuchi, Juanfran",https://p.scdn.co/mp3-preview/17f291d3f498640c9ea061b36ccb87f512399c6d?cid=42af1dc139184fc09475bdf54c5029cf
2ws8zwC1Ax65Z53PvtXgpG,Hptismo,"Brytiago, Ñengo Flow, CDobleta",https://p.scdn.co/mp3-preview/875325120b9f0785c9c6ec1f17b765d61529f483?cid=42af1dc139184fc09475bdf54c5029cf
