track_id,track_name,track_artist,track_preview,mp3_file,MFCC_Vector
2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",https://p.scdn.co/mp3-preview/e9c0ed735e611f6af45bc946bd4c31590df09ed6?cid=42af1dc139184fc09475bdf54c5029cf,downloaded_audio\_Desahogo_Juanfran.mp3,"[-34.990974   102.35014    -12.323405     9.246709     0.93734276
 -21.756413     0.45888025 -11.48538    -12.243193     2.3240485
  -9.387084     0.4482828   -3.8421922    3.2264245    1.753944
  -7.9325056  -10.350199    -7.965738   -12.960953    -3.4481232 ]"
4jn3R3KF5hx2fCiXlj89yE,FLECHAZO EN EL CENTRO,"YSY A, Bhavi, Milo j",https://p.scdn.co/mp3-preview/6ad23dab9766d4a96e4b7153f78e616ea33d5f98?cid=42af1dc139184fc09475bdf54c5029cf,downloaded_audio\_activfckinu18_4batz.mp3,"[-99.326744    91.45482     12.034754    23.521626    10.782643
  -9.479181     3.1604977   -5.452995     0.51841295   4.847206
  -2.5618796    2.7314944    2.570868    -2.9660275    2.7517133
  -1.0619143   -2.410788     0.36666432  -9.383409     1.7574742 ]"
1Hs1uUl8o2VtDp1DABFq0O,Los del Espacio,"LIT killah, Tiago PZK, Maria Becerra, Duki, Emilia, Rusherking, Big One, FMK",https://p.scdn.co/mp3-preview/5bbdd15509b10d1b62cf5aa43500255754e2096b?cid=42af1dc139184fc09475bdf54c5029cf,downloaded_audio\_LaMejorVersióndeMiRemix_NATTINATASHARomeoSantos.mp3,"[-38.869926    80.63513     16.843449    21.969837    -2.212526
   2.6754053   -6.6050477   -0.57069665  -5.782355     5.045789
 -10.1688       3.5231292   -7.175374     3.5935585   -8.794403
   0.8247639   -4.3850203    0.47845173  -2.027228     5.9262304 ]"
1fTBr87WdB5OBBpVovXQOz,Bad Boy,"Sayian Jimmy, Nysix Music, CamiMusic",https://p.scdn.co/mp3-preview/529be9f5edcc008c0db1691cba0b544c1aa868c2?cid=42af1dc139184fc09475bdf54c5029cf,downloaded_audio\_WillYouLoveMe_ChakaKhan.mp3,"[-58.92698     97.11133    -11.529681    30.774353    -2.8962874
   0.28709254  -2.597204     2.4690526   -3.7414927   11.982752
   0.6672538    1.9280878    8.671782     1.0501255    6.823594
   4.6010184    2.6950824    7.452432     1.4347172    4.1778836 ]"
5MxFWjuqQIsbNWbMdMdbli,La Jumpa,"Arcángel, Bad Bunny",https://p.scdn.co/mp3-preview/8bcdff4719a7a4211128ec93da03892e46c4bc6a?cid=42af1dc139184fc09475bdf54c5029cf,downloaded_audio\_HeyLilMama_EladioCarrionRauwAlejandro.mp3,"[-74.412994    95.27377      0.1449339    5.2950892    0.8692694
  -1.9019655   -4.8960543    1.1849188  -14.712237    12.691495
  -3.0999653    0.19615242  -1.5042164    1.4031137   -2.7797978
  -1.2144877    0.3833917    6.3442106   -2.7279046    9.808701  ]"
4h635NpiMlCxCGKuln7C6x,La Noche Está,Cris Mj,https://p.scdn.co/mp3-preview/ef59719a22a52ea224512530060ff483f0a1af36?cid=42af1dc139184fc09475bdf54c5029cf,downloaded_audio\_PropiedadPrivada_Grupo5.mp3,"[-1.0898904e+02  7.0851379e+01  2.4122987e+00  2.8757923e+01
  9.2387638e+00  1.2649352e+01 -1.4178561e+00  9.0826033e-03
 -2.8165884e+00  1.5769408e+00 -2.5283704e+00  6.0215511e+00
 -2.8931968e+00 -8.1374991e-01 -6.4338999e+00  2.7694159e+00
 -8.3832703e+00  3.0266948e+00 -3.0885105e+00 -2.8506556e+00]"
2I4ZalccAYtOnI9tnKDDml,PALABRAS SOBRAN - REMIX,"Blessd, Ryan Castro, Bryant Myers, Hades66",https://p.scdn.co/mp3-preview/f64f7bd80b3794248e6acd8529409c45c8e6b74d?cid=42af1dc139184fc09475bdf54c5029cf,downloaded_audio\_DespuésdeTi_CeciJuno.mp3,"[-46.592846    93.48714     -1.3787739   25.017471     3.4344788
   1.4947369    0.35929495  -4.315379    -1.083181     4.293734
  -5.883146     4.855953   -11.021138    -0.88714993  -8.645079
  -1.7946217   -4.0182962    4.126466    -3.117057     2.635054  ]"
67smGwuPEtA6GAfeweAVNO,SLAY!,Eternxlkz,https://p.scdn.co/mp3-preview/f873676632570982293f1614dc9df821d4dc6e00?cid=42af1dc139184fc09475bdf54c5029cf,downloaded_audio\_LaGuitarra_LosAuténticosDecadentes.mp3,"[-41.086784  108.145424  -31.89143    47.918743    1.3797709   5.982928
  -1.5786955  11.301462  -10.192419    4.097861    2.9002388   5.1300783
  -0.5439795   8.405539    1.3698741   2.4195697  -1.8885059   3.341821
  -5.733623   -0.6426888]"
06PqeO7IInus2yvzsZwZhf,CUTE DEPRESSED,Dyan Dxddy,https://p.scdn.co/mp3-preview/a6a2f1fe7bd0da3e16035978d4a108752af104e0?cid=42af1dc139184fc09475bdf54c5029cf,downloaded_audio\_Milagrosa_Miloj.mp3,"[-1.1616233e+02  7.3578629e+01 -8.5440558e-01 -9.8935795e+00
 -5.0784197e+00  3.9067842e-02 -2.1548359e+01 -1.3360393e+00
 -2.2205076e+01  7.9691869e-01 -1.0386650e+01  1.9604784e+00
  1.6406822e+00 -6.7203283e+00  5.3893862e+00  4.1137857e+00
 -2.1509714e+00  1.2419542e+00 -8.2137758e-01 -1.1840327e+00]"
5VZ0soW5syQfefCUj603DW,MASHA ULTRAFUNK,"HISTED, TXVSTERPLAYA",https://p.scdn.co/mp3-preview/5f1d681f115a98cb6335846258f4f78ccd1ca53f?cid=42af1dc139184fc09475bdf54c5029cf,downloaded_audio\_TÚNAME_FuerzaRegida.mp3,"[-18.130558    91.673134     6.335067    17.066076     8.807932
  16.091507    -2.6021073    8.626203     6.0363746    7.173458
   1.8405216    2.903828     3.7284062    2.3349137   -5.1030397
   1.8202587   -9.48454      0.98763883  -4.9289904   -0.8210891 ]"
